"",Target,SS,SS2,MWE,Notes
"""","","","","",""
"नमस्कार","","","","",""
"।","","","","",""
"""","","","","",""
"","","","","",""
"""","","","","",""
"नमस्कार","","","","",""
",","","","","",""
"""","","","","",""
"सिग्नल-मैन","","","","",""
"ने",ने,Originator,Agent,"",""
"कहा","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"क्या","","","","",""
"कर","","","","",""
"रहे","","","","",""
"हो","","","","",""
"यहां","","","","",""
"?","","","","",""
"""","","","","",""
"","","","","",""
"""","","","","",""
"मैं","","","","",""
"हजारों","","","","",""
"के",का,QuantityItem,Stuff,"",""
"झुंड","","","","",""
"में",में,Whole,Whole,"",""
"यात्रियों","","","","",""
"को",को,Theme,Theme,"",""
"चुनता","","","","",""
"हूं","","","","",""
"।","","","","",""
"","","","","",""
"मैं","","","","",""
"उन","","","","",""
"गाड़ियों","","","","",""
"को",को,Theme,Theme,"",""
"दाएं-बाएं","","","","",""
"भेजता","","","","",""
"हूं","","","","",""
"जिनमें",में,Locus,Locus,"",""
"यात्री","","","","",""
"होते","","","","",""
"हैं","","","","",""
"।","","","","",""
"""","","","","",""
"","","","","",""
"एक","","","","",""
"तूफान","","","","",""
"मेल","","","","",""
"बिजली","","","","",""
"की",की तरह,Manner,ComparisonRef,1:1,""
"तरह",की तरह,"","",1:2,""
"गरजता","","","","",""
"है","","","","",""
"और","","","","",""
"पूरे","","","","",""
"केबिन","","","","",""
"को",को,Theme,Theme,"",""
"हिलाता","","","","",""
"हुआ","","","","",""
"तेजी","","","","",""
"से",से,Manner,Manner,"",""
"गुजर","","","","",""
"जाता","","","","",""
"है","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"ये","","","","",""
"लोग","","","","",""
"बड़ी","","","","",""
"जल्दी","","","","",""
"में",में,Characteristic,Locus,"",""
"हैं","","","","",""
"।","","","","",""
"","","","","",""
"क्या","","","","",""
"चाहते","","","","",""
"हैं","","","","",""
"ये","","","","",""
",","","","","",""
"""","","","","",""
"राजकुमार","","","","",""
"ने",ने,Originator,Agent,"",""
"पूछा","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"ड्राइवर","","","","",""
"को",को,Experiencer,Recipient,"",""
"खुद","","","","",""
"नहीं","","","","",""
"मालूम","","","","",""
"।","","","","",""
"""","","","","",""
"","","","","",""
"दूसरी","","","","",""
"ओर","","","","",""
"से",से,Sourc,Source,"",""
"एक","","","","",""
"और","","","","",""
"गाड़ी","","","","",""
"शोर","","","","",""
"मचाती","","","","",""
"हुई","","","","",""
"गुजर","","","","",""
"गई","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"अरे","","","","",""
"यह","","","","",""
"लौट","","","","",""
"भी","","","","",""
"आए","","","","",""
",","","","","",""
"""","","","","",""
"राजकुमार","","","","",""
"ने",ने,Originator,Agent,"",""
"पूछा","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"वही","","","","",""
"लोग","","","","",""
"नहीं","","","","",""
"थे","","","","",""
"ये","","","","",""
"।","","","","",""
"","","","","",""
"यह","","","","",""
"तो","","","","",""
"दूसरी","","","","",""
"गाड़ी","","","","",""
"थी","","","","",""
"।","","","","",""
"""","","","","",""
"","","","","",""
"""","","","","",""
"जहां","","","","",""
"थे","","","","",""
"वहां","","","","",""
"संतुष्ट","","","","",""
"नहीं","","","","",""
"थे","","","","",""
"ये","","","","",""
"क्या","","","","",""
"?","","","","",""
"""","","","","",""
"राजकुमार","","","","",""
"ने",ने,Originator,Agent,"",""
"पूछा","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"आदमी","","","","",""
"जहां","","","","",""
"है","","","","",""
"वहां","","","","",""
"कभी","","","","",""
"संतुष्ट","","","","",""
"नहीं","","","","",""
"रहता","","","","",""
"।","","","","",""
"""","","","","",""
"फिर","","","","",""
"एक","","","","",""
"गाड़ी","","","","",""
"गुजरी","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"ये","","","","",""
"लोग","","","","",""
"पहले","","","","",""
"यात्रियों","","","","",""
"के",के पीछे,Locus,Locus,"1:1",""
"पीछे",के पीछे,"","","1:2",""
"जा","","","","",""
"रहे","","","","",""
"हैं","","","","",""
"?","","","","",""
"""","","","","",""
"","","","","",""
"""","","","","",""
"ये","","","","",""
"कुछ","","","","",""
"करते","","","","",""
"नहीं","","","","",""
"।","","","","",""
"","","","","",""
"अंदर","","","","",""
"बैठे","","","","",""
"सो","","","","",""
"रहे","","","","",""
"होंगे","","","","",""
"या","","","","",""
"जम्हाई","","","","",""
"ले","","","","",""
"रहे","","","","",""
"होंगे","","","","",""
",","","","","",""
"बस","","","","",""
"बच्चे","","","","",""
"खिड़की","","","","",""
"से",से,Goal,Ancillary,"",*Q* force dynamics
"नाक",,"","","",""
"रगड़ते","","","","",""
"कुछ","","","","",""
"देख","","","","",""
"रहे","","","","",""
"होंगे","","","","",""
"","","","","",""
"।","","","","",""
"""","","","","",""
"""","","","","",""
"बस","","","","",""
"बच्चे","","","","",""
"जानते","","","","",""
"हैं","","","","",""
"कि","","","","",""
"उन्हें",को,Agent,Agent,"",""
"क्या","","","","",""
"करना","","","","",""
"चाहिए","","","","",""
",","","","","",""
"""","","","","",""
"राजकुमार","","","","",""
"ने",ने,Originator,Agent,"",""
"कहा","","","","",""
",","","","","",""
"""","","","","",""
"चिथड़ों","","","","",""
"से",से,Source,Source,"",*Q* could also be Stuff
"बनी","","","","",""
"गुड़िया","","","","",""
"से",से,Instrument,Instrument,"",""
"घंटों","","","","",""
"खेलते","","","","",""
"रहते","","","","",""
"हैं","","","","",""
"।","","","","",""
"","","","","",""
"उनके",के लिए,Experiencer,Beneficiary,1:1,""
"लिए",के लिए,"","",1:2,""
"महत्वपूर्ण","","","","",""
"बन","","","","",""
"जाती","","","","",""
"है","","","","",""
"।","","","","",""
"","","","","",""
"और","","","","",""
"अगर","","","","",""
"कोई","","","","",""
"उनकी",का,Possessor,Possessor,"",""
"गुड़िया","","","","",""
"ले","","","","",""
"ले","","","","",""
"तो","","","","",""
"रोने","","","","",""
"लगते","","","","",""
"हैं","","","","",""
"...","","","","",""
"""","","","","",""
"","","","","",""
"""","","","","",""
"वे","","","","",""
"ही","","","","",""
"अच्छे","","","","",""
"हैं","","","","",""
",","","","","",""
"""","","","","",""
"सिग्नल-मैन","","","","",""
"ने",ने,Originator,"Agent","",""
"कहा","","","","",""
"।","","","","",""
"","","","","",""